Country|Recreation_potential_2012|Recreation_demand_2012|Use_2012
MT|10.78066914|1306.47619|36620.23811
CY|12.67420169|122.0105275|80405.00699
LU|19.09335382|217.2520169|80499.41155
EE|8.774830581|28.53197478|97275.76938
LV|11.64466925|30.56547026|125119.4527
HR|7.08986878|72.49690057|205392.0214
LT|13.90174047|43.90296394|247814.2021
SI|35.25251026|102.7150559|279426.3784
FI|14.39372974|16.78347241|368378.7446
IE|5.144936075|66.04280482|427659.6136
SK|30.39275914|110.5785928|548487.2718
SE|14.64311133|22.34188207|605786.9047
PT|11.74319844|108.6638811|619082.6382
EL|20.07866044|79.53937905|649194.9692
BG|25.34482759|63.94613626|701876.0668
AT|23.30892943|101.3871219|734508.4539
DK|8.330347974|126.1560913|753592.3937
CZ|19.68106193|134.4238909|891870.2799
HU|16.68373573|105.4984475|911643.4515
NL|10.18916096|484.0444438|922246.0325
BE|19.6260152|368.1238211|947925.8496
RO|16.51042241|82.12072943|1087397.777
ES|10.57136397|85.12953275|2246198.647
PL|28.45252814|123.5123957|3403953.49
IT|14.19154359|194.5063705|3469602.176
UK|18.14344055|265.2524718|4997360.047
FR|19.77842814|115.9252933|5661883.825
DE|33.16076842|225.788009|9023867.141
EU28|18.15581593|115.50611|40125068.25
