iso2|iso3|name|bextent
AO|AGO|Angola|SRID=4326;POLYGON((11.6704 -18.03785,11.6704 -4.38942,24.08506 -4.38942,24.08506 -18.03785,11.6704 -18.03785))
BF|BFA|Burkina Faso|SRID=4326;POLYGON((-5.51892 9.40262,-5.51892 15.08137,2.40508 15.08137,2.40508 9.40262,-5.51892 9.40262))
BI|BDI|Burundi|SRID=4326;POLYGON((29.00142 -4.46915,29.00142 -2.30993,30.84601 -2.30993,30.84601 -4.46915,29.00142 -4.46915))
BJ|BEN|Benin|SRID=4326;POLYGON((0.77512 6.23453,0.77512 12.40869,3.85153 12.40869,3.85153 6.23453,0.77512 6.23453))
BW|BWA|Botswana|SRID=4326;POLYGON((19.99948 -26.90353,19.99948 -17.77975,29.36078 -17.77975,29.36078 -26.90353,19.99948 -26.90353))
CF|CAF|Central African Republic|SRID=4326;POLYGON((14.42103 2.22051,14.42103 11.00702,27.45431 11.00702,27.45431 2.22051,14.42103 2.22051))
CG|COG|Congo|SRID=4326;POLYGON((11.20103 -4.99932,11.20103 3.7029,18.64686 3.7029,18.64686 -4.99932,11.20103 -4.99932))
CI|CIV|Ivory Coast|SRID=4326;POLYGON((-8.59774 4.36173,-8.59774 10.73582,-2.4943 10.73582,-2.4943 4.36173,-8.59774 4.36173))
CD|COD|Democratic Republic of The Congo|SRID=4326;POLYGON((12.19545 -13.45461,12.19545 5.39024,31.3104 5.39024,31.3104 -13.45461,12.19545 -13.45461))
CM|CMR|Cameroon|SRID=4326;POLYGON((8.50158 1.65289,8.50158 13.07806,16.19199 13.07806,16.19199 1.65289,8.50158 1.65289))
ER|ERI|Eritrea|SRID=4326;POLYGON((36.43937 12.35605,36.43937 18.00504,43.15286 18.00504,43.15286 12.35605,36.43937 12.35605))
DZ|DZA|Algeria|SRID=4326;POLYGON((-8.66667 18.9639,-8.66667 37.08759,11.9985 37.08759,11.9985 18.9639,-8.66667 18.9639))
EG|EGY|Egypt|SRID=4326;POLYGON((24.69816 22,24.69816 31.66658,36.24952 31.66658,36.24952 22,24.69816 22))
