country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas
AT|0.12|4.04|11.32|4.29|55.63|12.84|0.96|0.00|0.00
BE|0.39|10.58|9.65|3.46|59.68|0.40|2.66|0.13|0.35
BG|0.12|3.56|15.30|6.41|113.50|6.45|1.11|0.09|0.01
CY|0.30|0.60|0.29|5.01|46.54|1.49|0.16|0.62|0.00
CZ|0.05|8.83|6.83|0.09|55.27|0.02|0.49|0.00|0.00
DE|0.42|11.71|22.35|1.00|102.23|0.37|1.43|0.25|0.08
DK|2.15|22.17|16.29|18.76|80.73|3.12|23.76|9.30|0.40
EE|0.43|2.98|12.78|2.15|124.59|1.61|56.60|0.55|0.17
EL|0.01|6.80|11.53|18.99|49.20|3.56|0.88|1.36|0.12
ES|0.03|9.86|11.47|21.33|52.18|4.01|0.63|0.90|0.15
FI|0.00|0.26|0.47|16.98|84.63|4.05|24.65|0.09|0.00
FR|0.04|9.87|18.95|3.50|60.91|4.85|0.99|0.77|0.22
HR|0.07|2.87|4.74|1.46|38.00|0.75|1.92|0.06|0.00
HU|0.19|10.96|42.81|0.00|143.94|0.50|14.18|0.00|0.00
IE|0.04|1.80|6.74|4.21|7.24|5.09|45.63|0.45|0.87
IT|0.06|6.38|10.34|6.33|61.91|7.02|0.32|0.28|0.07
LT|0.29|19.33|5.31|0.41|107.62|0.34|7.38|0.00|0.01
LU|0.10|4.23|4.03|0.00|104.31|0.00|0.00|0.00|0.00
LV|0.14|6.25|3.79|0.00|47.66|0.12|5.66|0.00|0.00
MT|1.54|13.08|0.00|22.26|1.97|2.85|0.00|0.67|0.00
NL|0.42|1.36|13.74|7.23|37.37|2.27|9.02|1.96|0.15
PL|0.03|8.92|8.30|0.04|81.73|0.14|1.34|0.00|0.00
PT|0.03|30.72|6.28|24.03|89.75|4.89|0.18|3.82|1.99
RO|0.05|2.75|9.02|2.27|56.91|1.20|25.28|0.43|0.07
SE|0.13|0.38|2.78|31.06|78.69|10.72|17.33|0.01|0.02
SI|0.12|7.81|3.29|6.72|69.25|8.91|0.21|0.49|0.00
SK|0.04|15.22|15.74|2.46|229.61|2.06|0.75|0.00|0.00
UK|0.19|7.92|31.22|12.09|17.78|3.78|19.31|0.92|0.31
