country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas
AT|1013.54|33273.50|93233.17|35344.37|458003.07|105740.45|7900.36|0.00|0.00
BE|4273.75|114876.15|104798.05|37613.10|647810.34|4361.39|28905.79|1464.11|3823.17
BG|585.73|17035.08|73273.62|30721.31|543554.77|30889.75|5324.31|427.47|64.03
CY|433.95|872.94|425.72|7328.52|68018.15|2172.52|240.20|913.01|0.00
CZ|677.70|110060.88|85046.61|1180.17|688658.62|198.10|6048.20|0.00|0.00
DE|27335.03|755459.71|1442365.71|64216.49|6597251.89|23567.08|91978.24|16214.84|5478.14
DK|9155.92|94551.43|69470.22|80028.54|344388.07|13294.24|101332.59|39661.19|1710.18
EE|209.33|1436.09|6160.94|1038.26|60039.42|773.69|27274.05|263.98|80.01
EL|42.46|47744.73|80978.73|133352.70|345557.77|24991.53|6161.11|9545.86|820.08
ES|645.25|220294.22|256104.97|476315.52|1165504.34|89573.04|14130.93|20190.00|3440.39
FI|12.49|720.51|1334.24|47706.22|237727.11|11375.75|69252.97|249.46|0.00
FR|2058.92|558190.53|1072088.93|197925.88|3445330.86|274517.69|55870.42|43656.69|12243.91
HR|304.10|11813.24|19511.00|5995.71|156523.80|3073.44|7915.35|237.67|17.71
HU|812.93|46991.83|183587.04|0.00|617302.96|2132.18|60816.50|0.00|0.00
IE|236.80|10689.05|39990.79|25005.84|42943.26|30193.09|270790.01|2673.84|5136.93
IT|2313.03|238855.44|386880.32|236854.69|2316907.55|262653.79|12058.59|10590.24|2488.53
LT|511.89|34044.44|9349.62|723.19|189570.76|596.09|12999.37|0.00|18.84
LU|69.64|3023.74|2881.62|0.00|74524.41|0.00|0.00|0.00|0.00
LV|266.89|12287.20|7449.05|0.00|93748.26|229.90|11133.89|4.27|0.00
MT|1328.18|11303.97|0.00|19241.29|1703.54|2465.80|0.00|577.47|0.00
NL|5227.01|17041.37|172377.14|90746.48|468745.48|28507.78|113184.56|24573.93|1842.27
PL|1184.65|302175.90|281182.29|1512.87|2767919.02|4603.81|45362.05|0.00|12.90
PT|124.59|117637.43|24029.81|92010.48|343624.00|18740.68|692.99|14612.28|7610.37
RO|606.80|30523.28|100103.45|25240.83|631445.19|13350.48|280556.59|4759.19|811.97
SE|538.49|1622.51|11922.12|133323.18|337795.35|46028.16|74393.06|61.94|102.09
SI|341.37|22543.21|9508.66|19400.07|199893.73|25718.49|615.47|1405.37|0.00
SK|82.86|31401.48|32464.00|5075.10|473672.38|4241.10|1550.36|0.00|0.00
UK|10409.69|423344.15|1668444.10|645758.15|949917.22|201867.69|1031944.29|49149.26|16525.50
