Country|Households||||||||
AT|734508.45||||||||
BE|947925.85||||||||
BG|701876.07||||||||
CY|80405.01||||||||
CZ|891870.28||||||||
DE|9023867.14||||||||
DK|753592.39||||||||
EE|97275.77||||||||
EL|2246198.65||||||||
ES|368378.74||||||||
FI|5661883.82||||||||
FR|649194.97||||||||
HR|205392.02||||||||
HU|911643.45||||||||
IE|427659.61||||||||
IT|3469602.18||||||||
LT|247814.20||||||||
LU|80499.41||||||||
LV|125119.45||||||||
MT|36620.24||||||||
NL|922246.03||||||||
PL|3403953.49||||||||
PT|619082.64||||||||
RO|1087397.78||||||||
SE|605786.90||||||||
SI|279426.38||||||||
SK|548487.27||||||||
UK|4997360.05||||||||
