country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas
AT|885.56|29071.91|81460.21|30881.28|400169.01|92388.14|6902.74|0.00|0.00
BE|2581.55|69390.68|63303.02|22720.11|391308.35|2634.49|17460.48|884.39|2309.38
BG|191.75|5576.68|23987.16|10057.06|177940.42|10112.20|1742.99|139.94|20.96
CY|283.91|571.11|278.52|4794.64|44500.42|1421.36|157.15|597.33|0.00
CZ|475.27|77186.27|59643.63|827.66|482959.89|138.93|4241.63|0.00|0.00
DE|24716.46|683090.33|1304194.06|58064.87|5965267.13|21309.47|83167.17|14661.54|4953.36
DK|8362.92|86362.26|63453.35|73097.21|314560.34|12142.81|92556.09|36226.10|1562.06
EE|128.04|878.41|3768.43|635.07|36724.00|473.24|16682.58|161.47|48.94
EL|31.89|35862.75|60825.98|100165.92|259560.64|18772.02|4627.83|7170.24|615.99
ES|521.83|178158.09|207119.25|385209.68|942575.95|72440.22|11428.08|16328.22|2782.34
FI|11.22|647.20|1198.49|42852.46|213540.14|10218.35|62207.00|224.08|0.00
FR|1637.07|443822.39|852427.69|157372.67|2739414.01|218271.52|44423.08|34711.83|9735.24
HR|259.56|10083.27|16653.74|5117.68|133601.89|2623.35|6756.20|202.86|15.12
HU|474.99|27457.08|107268.95|0.00|360686.90|1245.82|35534.77|0.00|0.00
IE|161.24|7278.57|27231.23|17027.41|29241.68|20559.61|184391.08|1820.72|3497.93
IT|1890.91|195265.89|316277.20|193630.26|1894087.13|214721.19|9857.97|8657.59|2034.39
LT|399.61|26577.08|7298.86|564.57|147990.02|465.34|10148.07|0.00|14.71
LU|54.54|2368.02|2256.72|0.00|58363.33|0.00|0.00|0.00|0.00
LV|260.34|11985.69|7266.27|0.00|91447.85|224.26|10860.68|4.16|0.00
MT|591.47|5033.89|0.00|8568.54|758.62|1098.07|0.00|257.16|0.00
NL|4306.03|14038.75|142005.00|74757.32|386154.45|23484.83|93241.91|20244.11|1517.67
PL|963.12|245669.34|228601.51|1229.97|2250321.22|3742.90|36879.39|0.00|10.49
PT|114.78|108376.73|22138.13|84767.19|316573.08|17265.36|638.44|13461.97|7011.27
RO|212.54|10691.39|35063.25|8841.11|221176.40|4676.28|98270.60|1667.00|284.41
SE|448.58|1351.61|9931.53|111062.73|281394.98|38343.01|61971.94|51.60|85.04
SI|130.38|8610.05|3631.69|7409.57|76346.46|9822.80|235.07|536.76|0.00
SK|51.57|19542.62|20203.88|3158.47|294788.66|2639.43|964.86|0.00|0.00
UK|8238.15|335031.43|1320394.32|511048.22|751757.46|159756.60|816673.08|38896.36|13078.16
