country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas
AT|1.06|89.23|134.29|46.16|478.54|145.88|8.25||
BE|3.73|263.49|152.05|41.08|566.06|3.81|25.26|1.28|4.18
BG|0.96|55.25|151.23|62.89|890.13|67.47|8.72|0.70|0.13
CY|0.34|1.42|0.42|7.28|54.05|2.01|0.19|0.73|
CZ|0.62|231.29|127.60|1.34|625.77|0.23|5.50||
DE|27.48|2442.10|2378.72|80.69|6631.63|29.43|92.46|16.30|6.88
DK|9.81|240.89|109.15|107.23|369.15|14.26|108.62|42.51|2.29
EE|0.70|8.82|27.55|4.31|199.48|2.63|90.62|0.88|0.33
EL|0.07|158.34|171.32|278.59|577.53|56.06|10.30|15.95|1.71
ES|1.14|778.02|579.17|1049.75|2054.92|212.23|24.91|35.60|7.58
FI|0.03|2.87|3.91|135.96|542.03|33.45|157.90|0.57|
FR|1.92|1508.67|1538.05|230.11|3204.52|333.44|51.97|40.61|14.24
HR|1.91|320.56|567.11||1451.28|7.16|142.98||
HU|0.46|41.10|41.56|11.36|237.21|6.54|12.00|0.36|0.03
IE|0.22|17.81|57.39|29.49|40.51|36.74|255.44|2.52|6.06
IT|3.86|874.20|829.55|493.75|3863.87|561.96|20.11|17.66|5.19
LT|0.72|114.23|21.99|1.28|268.35|0.86|18.40||0.03
LU|0.06|5.33|3.89||60.38||||
LV|0.28|38.02|13.06||99.71|0.24|11.84||
MT|0.41|5.96||7.36|0.52|1.08||0.18|
NL|7.96|60.24|385.47|172.76|713.92|43.42|172.38|37.43|3.51
PL|1.40|939.09|549.60|2.24|3273.50|6.64|53.65|0.00|0.02
PT|0.27|529.02|73.70|250.63|748.79|55.52|1.51|31.84|20.73
RO|1.30|187.55|286.40|67.79|1356.65|33.16|602.77|10.23|2.18
SE|1.47|10.73|43.25|454.96|922.16|169.90|203.09|0.17|0.35
SI|0.22|31.69|9.30|15.85|130.62|21.62|0.40|0.92|
SK|0.21|169.25|128.18|15.75|1176.21|13.90|3.85||
UK|9.63|1265.68|2376.93|746.47|878.45|249.52|954.31|45.45|19.10
EU|78.24|10390.84|10760.85|4315.07|31415.92|2109.20|3037.42|301.87|94.54
