Country|Households||||||||
AT|89.22||||||||
BE|87.32||||||||
BG|146.55||||||||
CY|55.01||||||||
CZ|71.58||||||||
DE|139.83||||||||
DK|176.66||||||||
EE|201.86||||||||
EL|92.43||||||||
ES|100.57||||||||
FI|131.13||||||||
FR|100.10||||||||
HR|49.86||||||||
HU|212.57||||||||
IE|72.06||||||||
IT|92.71||||||||
LT|140.68||||||||
LU|112.67||||||||
LV|63.60||||||||
MT|42.37||||||||
NL|73.53||||||||
PL|100.52||||||||
PT|161.69||||||||
RO|98.00||||||||
SE|141.12||||||||
SI|96.80||||||||
SK|265.88||||||||
UK|93.53||||||||
